user_ID,stimuli_ID,stimuli_file,rating_type,rating,timestamp,rel_distance,abs_distance,stimulus,codec,resolution,bitrate,source,source_short
24,19,['..\\4k_viewing_distance\\cpvs_hevc\\AVT-Faces_lighting1__V4-0005_3500k_1080_hevc.mkv'],acr,4,2024-09-05 09:30:47 939222,1.6,60,AVT-Faces_lighting1__V4-0005_3500k_1080_hevc,hevc,1080p,3500k,AVT-Faces_lighting1__V4-0005,Faces_05
24,20,['..\\4k_viewing_distance\\cpvs_hevc\\fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_1000k_1080_hevc.mkv'],acr,3,2024-09-05 09:31:01 417012,1.6,60,fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_1000k_1080_hevc,hevc,1080p,1000k,fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s,Debris
24,21,['..\\4k_viewing_distance\\cpvs_hevc\\AVT-Faces_lighting1__V4-0005_15000k_2160_hevc.mkv'],acr,4,2024-09-05 09:31:13 913218,1.6,60,AVT-Faces_lighting1__V4-0005_15000k_2160_hevc,hevc,2160p,15000k,AVT-Faces_lighting1__V4-0005,Faces_05
24,22,['..\\4k_viewing_distance\\cpvs_hevc\\water_netflix_8s_3500k_1080_hevc.mkv'],acr,4,2024-09-05 09:31:24 707443,1.6,60,water_netflix_8s_3500k_1080_hevc,hevc,1080p,3500k,water_netflix_8s,Water
24,23,['..\\4k_viewing_distance\\cpvs_hevc\\AVT-Faces_lighting1__V4-0012_7000k_2160_hevc.mkv'],acr,4,2024-09-05 09:31:37 335590,1.6,60,AVT-Faces_lighting1__V4-0012_7000k_2160_hevc,hevc,2160p,7000k,AVT-Faces_lighting1__V4-0012,Faces_12
24,24,['..\\4k_viewing_distance\\cpvs_hevc\\AVT-Faces_lighting1__V4-0012_100k_360_hevc.mkv'],acr,1,2024-09-05 09:31:50 100710,1.6,60,AVT-Faces_lighting1__V4-0012_100k_360_hevc,hevc,360p,100k,AVT-Faces_lighting1__V4-0012,Faces_12
24,25,['..\\4k_viewing_distance\\cpvs_hevc\\fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_400k_360_hevc.mkv'],acr,1,2024-09-05 09:32:01 443089,1.6,60,fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_400k_360_hevc,hevc,360p,400k,fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s,Debris
24,26,['..\\4k_viewing_distance\\cpvs_hevc\\AVT-Faces_lighting1__V4-0012_400k_720_hevc.mkv'],acr,3,2024-09-05 09:32:15 026947,1.6,60,AVT-Faces_lighting1__V4-0012_400k_720_hevc,hevc,720p,400k,AVT-Faces_lighting1__V4-0012,Faces_12
24,27,['..\\4k_viewing_distance\\cpvs_hevc\\cutting_orange_tuil_8s_1000k_1080_hevc.mkv'],acr,4,2024-09-05 09:32:26 734180,1.6,60,cutting_orange_tuil_8s_1000k_1080_hevc,hevc,1080p,1000k,cutting_orange_tuil_8s,Orange
24,28,['..\\4k_viewing_distance\\cpvs_hevc\\AVT-Faces_lighting1__V4-0005_400k_720_hevc.mkv'],acr,2,2024-09-05 09:32:39 679776,1.6,60,AVT-Faces_lighting1__V4-0005_400k_720_hevc,hevc,720p,400k,AVT-Faces_lighting1__V4-0005,Faces_05
24,29,['..\\4k_viewing_distance\\cpvs_hevc\\AVT-Faces_lighting1__V4-0012_1000k_1080_hevc.mkv'],acr,4,2024-09-05 09:32:52 526582,1.6,60,AVT-Faces_lighting1__V4-0012_1000k_1080_hevc,hevc,1080p,1000k,AVT-Faces_lighting1__V4-0012,Faces_12
24,30,['..\\4k_viewing_distance\\cpvs_hevc\\AVT-Faces_lighting1__V4-0012_15000k_2160_hevc.mkv'],acr,5,2024-09-05 09:33:05 760760,1.6,60,AVT-Faces_lighting1__V4-0012_15000k_2160_hevc,hevc,2160p,15000k,AVT-Faces_lighting1__V4-0012,Faces_12
24,31,['..\\4k_viewing_distance\\cpvs_hevc\\cutting_orange_tuil_8s_3500k_2160_hevc.mkv'],acr,4,2024-09-05 09:33:18 360807,1.6,60,cutting_orange_tuil_8s_3500k_2160_hevc,hevc,2160p,3500k,cutting_orange_tuil_8s,Orange
24,32,['..\\4k_viewing_distance\\cpvs_hevc\\cutting_orange_tuil_8s_7000k_1080_hevc.mkv'],acr,5,2024-09-05 09:33:29 950617,1.6,60,cutting_orange_tuil_8s_7000k_1080_hevc,hevc,1080p,7000k,cutting_orange_tuil_8s,Orange
24,33,['..\\4k_viewing_distance\\cpvs_hevc\\cutting_orange_tuil_8s_100k_360_hevc.mkv'],acr,1,2024-09-05 09:33:41 023787,1.6,60,cutting_orange_tuil_8s_100k_360_hevc,hevc,360p,100k,cutting_orange_tuil_8s,Orange
24,34,['..\\4k_viewing_distance\\cpvs_hevc\\fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_3500k_1080_hevc.mkv'],acr,3,2024-09-05 09:33:52 102449,1.6,60,fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_3500k_1080_hevc,hevc,1080p,3500k,fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s,Debris
24,35,['..\\4k_viewing_distance\\cpvs_hevc\\DialogMeridian_3500k_2160_hevc.mkv'],acr,4,2024-09-05 09:34:05 106390,1.6,60,DialogMeridian_3500k_2160_hevc,hevc,2160p,3500k,DialogMeridian,Meridian
24,36,['..\\4k_viewing_distance\\cpvs_hevc\\fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_1000k_720_hevc.mkv'],acr,2,2024-09-05 09:34:15 941920,1.6,60,fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_1000k_720_hevc,hevc,720p,1000k,fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s,Debris
